+1 1:0.571874116423 2:-7.557 3:0.249051944212 4:106.489 5:46.5637378319 6:46.5004435841 7:-19.550931969 8:3.57940763274 9:28.2803932522 10:-20.4696283186 11:-4.7566659292 12:7.90527488938 13:-13.0117936947 14:2.9858965708 15:-13.5923313053 16:-7.27213108407 17:4 18:0.771029899437
+1 1:0.650428312678 2:-2.967 3:0.491340786305 4:184.476 5:52.4290824313 6:52.7061673605 7:0.904809325562 8:21.1562930891 9:24.4080749376 10:1.34735054122 11:-2.33767194005 12:12.7269650291 13:-11.2701623647 14:0.842424646128 15:-18.039674438 16:-0.999861781848 17:3 18:0.770483767901
+1 1:0.959628431799 2:-5.145 3:0.697655877069 4:125.016 5:51.1950068702 6:80.3125587786 7:22.1669770992 8:16.1019160305 9:32.0398022901 10:-5.37235114504 11:-16.4057526718 12:-1.2713648855 13:-9.27366335878 14:3.35452977099 15:-13.316159542 16:-2.75469694656 17:3 18:0.550860289594
+1 1:0.302520200191 2:-6.811 3:0.151150755714 4:120.07 5:48.3723067961 6:21.0397378641 7:9.80550873786 8:-12.7246592233 9:23.402423301 10:-19.2657145631 11:-15.7897378641 12:-6.53826893204 13:-7.47687475728 14:2.03283495146 15:-7.52598446602 16:2.64715533981 17:4 18:0.587054812217
+1 1:0.465275353822 2:-8.842 3:0.422405118278 4:95.407 5:44.9248032609 6:-7.55341521739 7:1.59172065217 8:-13.3508076087 9:39.7244663043 10:-6.89035543478 11:-8.462775 12:0.0105282608696 13:-9.06044130435 14:3.99382934783 15:-13.9319576087 16:-9.73932717391 17:5 18:0.484279853801
+1 1:0.419116808554 2:-12.19 3:0.119511075864 4:125.058 5:44.246594123 6:-17.7032240588 7:28.469087236 8:-6.63832690542 9:42.6192681359 10:-25.1279320478 11:7.44847566575 12:-5.89814784206 13:-17.610677686 14:-7.19033976125 15:-4.52037098255 16:6.23795224977 17:4 18:0.520230764645
+1 1:0.835063948784 2:-8.984 3:0.321683812042 4:104.993 5:46.6463186549 6:2.9449407526 7:13.9456317054 8:7.79838911129 9:23.6636965572 10:-21.0395460368 11:-8.03921457166 12:0.807995196157 13:-12.4394123299 14:2.33628342674 15:-8.78104883907 16:-6.01055244195 17:4 18:0.733156548814
+1 1:0.564941274883 2:-8.105 3:0.345364429286 4:122.008 5:47.2385810008 6:23.3410602205 7:6.47038592027 8:16.8185453774 9:19.4224427481 10:-15.372754877 11:3.35500508906 12:2.94911111111 13:-12.833706531 14:2.18940627651 15:-14.3798617472 16:-0.0643011026294 17:4 18:0.798448817853
+1 1:0.522479025921 2:-15.515 3:0.222817821161 4:87.983 5:40.8493932253 6:31.459078056 7:-26.8243622975 8:-22.4292179676 9:40.5495964654 10:-31.0926111929 11:7.42694698085 12:1.18322827688 13:-15.1156332842 14:-0.824324742268 15:-10.3285810015 16:1.55542415317 17:4 18:0.553897971509
+1 1:0.676818394414 2:-6.153 3:0.240419572831 4:118.414 5:50.3590583658 6:38.4053550584 7:22.5393540856 8:-3.64984922179 9:36.097213035 10:-27.0748258755 11:-12.6659212062 12:-2.10528210117 13:-3.43147957198 14:4.00125291829 15:-6.28963326848 16:-2.11029474708 17:4 18:0.628179099508
+1 1:0.707897071487 2:-6.093 3:0.272139846845 4:108.042 5:49.9361672897 6:24.1370345794 7:-17.4885028037 8:-8.05722897196 9:32.5299448598 10:-20.5083700935 11:-1.46378317757 12:-6.1043046729 13:0.202648598131 14:3.80911495327 15:-8.98220093458 16:4.66590934579 17:5 18:0.706440836584
+0 1:0.833991736189 2:-4.117 3:0.33045667221 4:130.058 5:52.6766863469 6:69.1767114391 7:20.8402280443 8:17.9803276753 9:1.49856900369 10:-23.1546892989 11:9.34503321033 12:2.21858892989 13:-13.3543734317 14:3.50113431734 15:-6.6495601476 16:-4.22488634686 17:4 18:0.678987822427
+0 1:0.479202994942 2:-7.55 3:0.383379592101 4:120.023 5:47.3955880322 6:31.0105097814 7:-5.65733716916 8:24.5997134638 9:20.8841737629 10:-9.19343037975 11:16.120721519 12:-0.143706559264 13:-8.8128561565 14:7.58144649022 15:-21.4612117376 16:-6.42539470656 17:4 18:0.928362529925
+0 1:0.497046755943 2:-6.557 3:0.37115207265 4:130.02 5:48.591715462 6:78.2107429094 7:27.4329926807 8:7.90831381519 9:7.35526166514 10:-14.520904849 11:7.59283074108 12:8.91978408051 13:-16.2663650503 14:2.16600457457 15:-17.177252516 16:-9.59409332113 17:4 18:0.771151064442
+0 1:0.832904546649 2:-5.359 3:0.307370363859 4:83.371 5:51.4291646505 6:50.1698293011 7:-12.2382211022 8:-3.70981048387 9:24.3771317204 10:-29.4996875 11:-10.4789791667 12:2.05505107527 13:-1.3843891129 14:7.65495698925 15:-5.48814852151 16:-0.348176747312 17:3 18:0.58406489128
+0 1:0.727688314856 2:-7.906 3:0.420267099243 4:130.035 5:46.2930397805 6:98.2875384088 7:-0.901104252401 8:20.3123751715 9:29.1430445816 10:-18.8975329218 11:-17.1232256516 12:-2.63643552812 13:-9.01085528121 14:14.4799238683 15:-15.9918203018 16:0.975866255144 17:4 18:0.813053313007
